anime,anime_url,episodes,rate,genre_seinen,genre_shonen,genre_shojo,genre_bl,genre_action,genre_adventure,genre_comedy,genre_romance,genre_drama,genre_slice of life,genre_isekai,genre_mystery,genre_fantasy,genre_sci-fi,genre_sports,genre_supernatural,genre_thriller,genre_magical girls,genre_food,genre_harem,genre_historical,genre_mecha,genre_music,genre_post-apocalyptic
Fire Force,https://www.crunchyroll.com/fire-force ,24,4.18,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ace of the Diamond,https://www.crunchyroll.com/ace-of-the-diamond ,176,4.63,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
High School Prodigies Have It Easy Even In Another World,https://www.crunchyroll.com/high-school-prodigies-have-it-easy-even-in-another-world ,12,3.16,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Kimi ni Todoke - From Me To You,https://www.crunchyroll.com/kimi-ni-todoke-from-me-to-you,37,4.61,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Masamune-kun's Revenge,https://www.crunchyroll.com/masamune-kuns-revenge,13,3.61,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kotoura-san,https://www.crunchyroll.com/kotoura-san,12,4.58,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sword Art Online Alternative: Gun Gale Online,https://www.crunchyroll.com/sword-art-online-alternative-gun-gale-online,13,3.73,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Restaurant to Another World,https://www.crunchyroll.com/restaurant-to-another-world,12,4.49,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Cells at Work!,https://www.crunchyroll.com/cells-at-work,14,4.76,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The World is Still Beautiful,https://www.crunchyroll.com/the-world-is-still-beautiful,12,4.65,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
